Name,Length,Width,Height,Weight,Quantity,Fragility,Stackable,BoxingType,Bundle
StandardPallet1,1.2,1.0,1.2,450,2,LOW,YES,PALLET,YES
HeavyMachinery,2.0,1.5,1.8,800,1,HIGH,NO,CRATE,NO
ElectronicCabinet,0.8,0.6,0.6,60,1,HIGH,NO,CRATE,NO
StorageBox,1.2,0.8,0.6,40,4,MEDIUM,YES,CARTON,YES
IndustrialPump,1.0,0.8,0.9,150,2,MEDIUM,NO,CRATE,NO
SteelDrums,0.6,0.6,0.9,90,2,LOW,YES,DRUM,NO
CardboardBoxes,0.6,0.4,0.4,10,6,LOW,YES,CARTON,YES
WoodCrates,1.0,1.0,0.5,60,2,LOW,YES,CRATE,NO
PlasticContainers,0.8,0.6,0.6,25,3,LOW,YES,BOX,YES
MachineParts,1.2,0.8,0.8,180,2,MEDIUM,NO,CRATE,NO
ToolBoxes,0.5,0.4,0.3,15,4,MEDIUM,YES,BOX,YES
PackagedGoods,0.6,0.4,0.5,15,6,LOW,YES,CARTON,YES
IndustrialFans,0.8,0.8,1.0,50,3,MEDIUM,NO,CRATE,NO
MetalFrames,2.4,0.8,0.4,100,2,LOW,YES,FRAME,NO
SafetyEquipment,0.6,0.4,0.6,20,3,HIGH,NO,BOX,NO
ChemicalBarrels,0.6,0.6,1.0,140,2,HIGH,NO,DRUM,NO
AutoParts,1.0,0.8,0.6,100,3,MEDIUM,YES,CRATE,YES
PackagingSupplies,1.2,0.8,0.4,30,4,LOW,YES,PALLET,YES
ElectricalBoxes,0.4,0.3,0.5,12,4,HIGH,NO,BOX,NO
FlatPanels,2.0,1.5,0.1,40,8,MEDIUM,YES,PANEL,YES
SmallAppliances,0.6,0.5,0.4,25,10,MEDIUM,YES,BOX,YES
PaperRolls,0.8,0.8,0.8,200,4,LOW,YES,ROLL,YES
PlasticPallets,1.2,1.0,0.15,15,12,LOW,YES,PALLET,YES
StackableContainers,0.6,0.4,0.3,10,15,LOW,YES,BOX,YES
MetalShelving,1.0,0.5,0.05,30,10,LOW,YES,PANEL,YES
PlasticBins,0.4,0.3,0.3,5,20,LOW,YES,BIN,YES
CableSpools,0.5,0.5,0.5,30,3,MEDIUM,YES,SPOOL,NO
FoldedFurniture,1.2,0.8,0.2,35,8,MEDIUM,YES,FLAT,YES
PackagingFoam,1.0,1.0,0.5,5,10,LOW,YES,SHEET,YES
